name_country;id_country
Brazil;1
Mexico;2
Singapore;3
United States;4
Turkey;5
Egypt;6
India;7
Poland;8
Thailand;9
Nigeria;10
Norway;11
United Kingdom;12
Japan;13
South Korea;14
Italy;15
Canada;16
Indonesia;17
Romania;18
Spain;19
Iceland;20
South Africa;21
France;22
Portugal;23
Hong Kong;24
Argentina;25
Germany;26
Denmark;27
Kenya;28
New Zealand;29
Pakistan;30
Australia;31
China;32
Taiwan;33
Netherlands;34
Philippines;35
United Arab Emirates;36
Iran;37
Israel;38
Uruguay;39
Bulgaria;40
Mauritius;41
Lebanon;42
Colombia;43
Soviet Union;44
Sweden;45
Malaysia;46
Ireland;47
Serbia;48
Finland;49
Peru;50
Chile;51
Ghana;52
Saudi Arabia;53
Namibia;54
Russia;55
Belgium;56
Vietnam;57
Kuwait;58
Czech Republic;59
Zimbabwe;60
Hungary;61
Venezuela;62
Cambodia;63
Austria;64
West Germany;65
Slovenia;66
Switzerland;67
Jordan;68
Bangladesh;69
Georgia;70
Puerto Rico;71
Senegal;72
Guatemala;73
Ukraine;74
Jamaica;75
Belarus;76
Cyprus;77
Greece;78
Paraguay;79
Croatia;80
Somalia;81
No disponible;82
