name_director;id_director
Jorge Michel Grau;1
Gilbert Chan;2
Shane Acker;3
Robert Luketic;4
Serdar Akar;5
Yasir Al Yasiri;6
Kevin Reynolds;7
Shravan Kumar;8
Vikram Bhatt;9
Zak Hilditch;10
Diego Enrique Osorno;11
Nottapon Boonprakob;12
John Suits;13
Kunle Afolayan;14
Paul Greengrass;15
Swapnaneel Jayakar;16
Onir;17
Vijay Milton;18
Santwana Bardoloi;19
Atanu Ghosh;20
Lyric R. Cabral;21
Cho Il;22
Sabina Fedeli;23
Michael Margolis;24
Rako Prijanto;25
Fernando Lebrija;26
Michael Kennedy;27
Robert McCullough Jr.;28
Cristina Jacob;29
Frank Ariza;30
Muharrem Gülmez;31
Óskar Thór Axelsson;32
Ozan Açıktan;33
Kenneth Gyang;34
Karyn Kusama;35
Adam Deyoe;36
Leif Tilden;37
Adze Ugah;38
Nicolas Brossette;39
Roland Emmerich;40
Marcel Barrena;41
Melinda Janko;42
Jastis Arimba;43
Shrihari Sathe;44
Sam Upton;45
Victor Zarcoff;46
Daniel Stamm;47
Ava DuVernay;48
Daniel Lee;49
Scott Hussion;50
Adam Davis;51
Richard Donner;52
Burr Steers;53
Francesco Amato;54
Salvador Calvo;55
David Marmor;56
Raymond Wood;57
Ramzy Bedia;58
Abhishek Varman;59
Morgan Neville;60
Hasraf Dulull;61
Mike Mills;62
Jon Lucas;63
Joey Curtis;64
Brian Smrz;65
Simranjit Singh Hundal;66
Geun-hyun Cho;67
Nicanor Loreti;68
Simon Napier-Bell;69
Betty Thomas;70
McG;71
Nagesh Kukunoor;72
Gaby Dellal;73
Iman Brotoseno;74
Rajkumar Hirani;75
Shazia Javed;76
Sinan Akkuş;77
Hani Hamdi;78
Ruben Fleischer;79
Maciej Dejczer;80
Barbara Białowąs;81
Hikari;82
Victor Gatonye;83
Jack C. Newell;84
Marco Deufemia;85
Gerardo Olivares;86
Andrew Nackman;87
Ishaya Bako;88
Anggy Umbara;89
Richard Loncraine;90
Marco Risi;91
Victor Levin;92
Peter Segal;93
Jonathan Levine;94
Rizal Mantovani;95
Matei Dima;96
Marja Lewis Ryan;97
Toa Fraser;98
Michael Bay;99
Hannah Fidell;100
Bharat Jain;101
Trent Haaga;102
Nizar Shafi;103
Roger Gual;104
Meenu Gaur;105
Vishal Bhardwaj;106
Anita Udeep;107
Steve Gukas;108
Clay Glen;109
Everardo González;110
Rachel Talalay;111
